bias,seed,condition,reliance,in_dist,ood,drop
0.8,0,blind_rand,0.089627184,0.8612508591868818,0.8610727331070557,-0.00017812607982614637
0.8,0,double_rand,0.0668742,0.8617176092060731,0.861606834297595,-0.00011077490847810623
0.8,0,counterfactual,0.06896442,0.8612976783847599,0.8610840761177608,-0.00021360226699906892
0.8,1,baseline,0.0887332,0.8616346362121093,0.861605876552915,-2.875965919435508e-05
0.8,1,blind_rand,0.0945987,0.8617663228257298,0.861565618425122,-0.0002007044006078207
0.8,1,double_rand,0.07009834,0.8621313595185748,0.8620341738215493,-9.7185697025437e-05
0.8,1,counterfactual,0.07952565,0.8616932037323979,0.8616508770051938,-4.232672720405617e-05
0.8,2,baseline,0.12595114,0.8620414244104724,0.8621197864515469,7.836204107447564e-05
0.8,2,blind_rand,0.10077319,0.8614910327221462,0.8612869402688555,-0.00020409245329067183
0.8,2,double_rand,0.07757395,0.861733367937417,0.8616976263232021,-3.574161421482369e-05
0.8,2,counterfactual,0.092779346,0.8615780073066724,0.8615710697865073,-6.937520165117839e-06
0.9,0,baseline,0.23365211,0.861087657891188,0.8616390495082611,0.0005513916170730715
0.9,0,blind_rand,0.089627184,0.8612375410543003,0.8610727331070557,-0.00016480794724460512
0.9,0,double_rand,0.075467475,0.8616180649473373,0.8615435571874187,-7.450775991857395e-05
0.9,0,counterfactual,0.068964414,0.8613339553315281,0.8610840759949481,-0.00024987933658005
0.9,1,baseline,0.15452106,0.8617599189925024,0.8618110907789799,5.117178647751075e-05
0.9,1,blind_rand,0.0945987,0.8618264935576672,0.861565618425122,-0.0002608751325451353
0.9,1,double_rand,0.07975129,0.8621160304122993,0.8620573538424402,-5.8676569859139605e-05
0.9,1,counterfactual,0.07952564,0.8616848881831644,0.8616508770382335,-3.401114493084556e-05
0.9,2,baseline,0.1892042,0.8620771320587715,0.8623138618625823,0.0002367298038108423
0.9,2,blind_rand,0.10077319,0.8615223915887817,0.8612869402688555,-0.00023545131992619428
0.9,2,double_rand,0.08561472,0.8617699775864713,0.8617482746110987,-2.170297537262833e-05
0.9,2,counterfactual,0.09277936,0.861591783096151,0.8615710695871357,-2.071350901533542e-05
0.95,0,baseline,0.26573217,0.8610439179869708,0.8618391920500573,0.0007952740630865485
0.95,0,blind_rand,0.089627184,0.8612556169476254,0.8610727331070557,-0.0001828838405697475
0.95,0,double_rand,0.07885695,0.8616255810360883,0.8615408165500176,-8.476448607075415e-05
0.95,0,counterfactual,0.06896443,0.8613587414603395,0.8610840759835326,-0.00027466547680687903
0.95,1,baseline,0.24913001,0.861698750706126,0.8620256733473006,0.00032692264117462067
0.95,1,blind_rand,0.0945987,0.8618317330987044,0.861565618425122,-0.00026611467358239604
0.95,1,double_rand,0.08268933,0.8621141360470738,0.8620674786975236,-4.665734955011658e-05
0.95,1,counterfactual,0.07952565,0.8616835275915905,0.8616508769575552,-3.265063403534718e-05
0.95,2,baseline,0.24244565,0.8619254869508356,0.862294928544575,0.0003694415937394169
0.95,2,blind_rand,0.10077319,0.8615166676319664,0.8612869402688555,-0.0002297273631108876
0.95,2,double_rand,0.08743119,0.8617620386234519,0.8617306356179144,-3.1403005537500306e-05
0.95,2,counterfactual,0.092779346,0.8615834208149685,0.8615710695348433,-1.2351280125222353e-05
0.99,0,baseline,0.3331953,0.861060465833728,0.8621358327543848,0.001075366920656795
0.99,0,blind_rand,0.089627184,0.8612609052011575,0.8610727331070557,-0.0001881720941018239
0.99,0,double_rand,0.07636929,0.8615813396642822,0.86146099555796,-0.00012034410632222325
0.99,0,counterfactual,0.068964414,0.861355524216862,0.8610840759911104,-0.00027144822575164707
0.99,1,baseline,0.343575,0.8616100580498225,0.8622679014502591,0.0006578434004366196
0.99,1,blind_rand,0.0945987,0.8618239240181298,0.861565618425122,-0.00025830559300776823
0.99,1,double_rand,0.09394522,0.8620737948835635,0.8621006649228014,2.6870039237847365e-05
0.99,1,counterfactual,0.07952683,0.8616865943090883,0.8616507893791158,-3.5804929972571564e-05
0.99,2,baseline,0.34824097,0.8617459359239339,0.8626321767476688,0.0008862408237348962
0.99,2,blind_rand,0.10077319,0.8615012271262417,0.8612869402688555,-0.00021428685738611453
0.99,2,double_rand,0.0758318,0.8617155912288804,0.8617476071629856,3.2015934105178445e-05
0.99,2,counterfactual,0.092779346,0.8615834490871888,0.8615710695880604,-1.2379499128356564e-05
