bias,seed,reliance,in_dist,ood,drop
0.6,0,0.10050856,0.8612722838227367,0.8613957403049696,0.00012345648223288652
0.6,1,0.057992768,0.8615703536791854,0.8614875949189709,-8.275876021457407e-05
0.6,2,0.091201894,0.8621761022280378,0.86214746475742,-2.8637470617765004e-05
0.7,0,0.127626,0.8612284050023866,0.8613796482323417,0.0001512432299550781
0.7,1,0.0664763,0.8616058233926256,0.8615648692843716,-4.095410825399881e-05
0.7,2,0.12015698,0.86211324089294,0.8622585579386925,0.00014531704575260207
0.8,0,0.16861022,0.8612682913015655,0.8615572291294914,0.00028893782792593914
0.8,1,0.0887332,0.8616346362121093,0.861605876552915,-2.875965919435508e-05
0.8,2,0.12595114,0.8620414244104724,0.8621197864515469,7.836204107447564e-05
0.9,0,0.23365211,0.861087657891188,0.8616390495082611,0.0005513916170730715
0.9,1,0.15452106,0.8617599189925024,0.8618110907789799,5.117178647751075e-05
0.9,2,0.1892042,0.8620771320587715,0.8623138618625823,0.0002367298038108423
